127.0.0.1 - - [30/Apr/2020:13:17:56 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:17:58 +0900] "GET /HRD_0428_02/modify.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:18:10 +0900] "GET /HRD_0428_02/index.jsp HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:18:11 +0900] "GET /HRD_0428_02/insert.jsp HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:18:13 +0900] "GET /HRD_0428_02/list.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:18:14 +0900] "GET /HRD_0428_02/view.jsp HTTP/1.1" 200 4359
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:18:15 +0900] "GET /HRD_0428_02/view2.jsp HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:18:17 +0900] "GET /HRD_0428_02/view.jsp HTTP/1.1" 200 4359
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:18:22 +0900] "GET /HRD_0428_02/list.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:18:24 +0900] "GET /HRD_0428_02/modify.jsp?hakbun=1202 HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:18:34 +0900] "POST /HRD_0428_02/modify_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:18:34 +0900] "GET /HRD_0428_02/list.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:19:17 +0900] "GET /HRD_0428_02/modify.jsp?hakbun=1102 HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:19:26 +0900] "GET /HRD_0428_02/view2.jsp HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:19:30 +0900] "GET /HRD_0428_02/view.jsp HTTP/1.1" 200 4359
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:22:51 +0900] "GET /HRD_0428_02/input.jsp HTTP/1.1" 200 3184
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:22:53 +0900] "GET /HRD_0428_02/list.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:22:54 +0900] "GET /HRD_0428_02/modify.jsp?hakbun=1102 HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:23:27 +0900] "POST /HRD_0428_02/modify_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:23:27 +0900] "GET /HRD_0428_02/list.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:23:46 +0900] "GET /HRD_0428_02/list.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:23:49 +0900] "GET /HRD_0428_02/input.jsp HTTP/1.1" 200 3184
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:23:50 +0900] "GET /HRD_0428_02/list.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:23:52 +0900] "GET /HRD_0428_02/modify.jsp?hakbun=1201 HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:23:54 +0900] "GET /HRD_0428_02/list.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:23:56 +0900] "GET /HRD_0428_02/modify.jsp?hakbun=1202 HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [30/Apr/2020:13:23:59 +0900] "GET /HRD_0428_02/list.jsp HTTP/1.1" 200 4865
